cancion	artista	estado/actividad
I Was Made For Loving You 	 Tori Kelly	Romantico
Para Olvidarte 	 Mau y Ricky	Romantico
This Town 	 Niall Horan	Romantico
Si No Es Muy Tarde - En Vivo 	 Luciano Pereyra	Romantico
All of Me 	 John Legend	Romantico
Aunque Ahora Estés Con El 	 Ricardo Montaner	Romantico
Hopeless Romantic 	 Meghan Trainor	Romantico
Fueron Tus Besos 	 Mario Guerrero	Romantico
Simplemente Tú 	 Cristian Castro	Romantico
Halo 	 Beyoncé	Romantico
A Thousand Years 	 Christina Perri	Romantico
Como Te Extraño 	 Abel Pintos	Romantico
Después del Adiós 	 Consuelo Schuster	Romantico
Stars 	 Alessia Cara	Romantico
Uno X Uno 	 Manuel Carrasco	Romantico
Lay Me Down 	 Sam Smith	Romantico
Más De La Mitad 	 Camila Gallardo	Romantico
Thinking Out Loud 	 Ed Sheeran	Romantico
Las Cosas Que Se Quedan 	 Loli Molina	Romantico
Un Pedazo de Mí 	 Dani Del Corral	Romantico
Vida de Mis Vidas 	 Santiago Cruz	Romantico
Parece Que Fue Ayer 	 Salo	Romantico
In Love Again 	 Colbie Caillat	Romantico
Say It Again 	 Frances	Romantico
If I Ain't Got You 	 Alicia Keys	Romantico
A Que No Me Dejas 	 Alejandro Sanz	Romantico
You're Beautiful 	 James Blunt	Romantico
En Ésta No 	 Sin Bandera	Romantico
Por Última Vez (feat. Franco De Vita) 	 Debi Nova	Romantico
Elastic Heart - Live from The Village 	 Sia	Romantico
Say a Little Prayer - Live 	 Lianne La Havas	Romantico
Closer - Acoustic 	 Tyler Ward	Relax
Polymorphing 	 Chairlift	Relax
Miss You 	 James Hersey	Relax
B.O.M.O. 	 Tatiana Manaois	Relax
Beso 	 Jósean Log	Relax
Somebody Else 	 The 1975	Relax
Chica Bonita 	 Adiós París	Relax
Thinking Out Loud 	 Ed Sheeran	Relax
Alguna Vez 	 Matisse	Relax
Start A Riot 	 BANNERS	Relax
Ruin 	 Shawn Mendes	Relax
Hometown Girl 	 ZHU	Relax
Parece Que Fue Ayer 	 Salo	Relax
Magic 	 Coldplay	Relax
Ley De Newton 	 Beatriz Luengo	Relax
And the Sea 	 Poolside	Relax
Amor sincero 	 Mane de la Parra	Relax
Nunca Es Tarde 	 Coronel	Relax
Ooh Love 	 Ria Mae	Relax
I'm Not The Only One 	 Sam Smith	Relax
Little Talks 	 Julia Sheer & Jon D	Relax
Pa'lante 	 Salomón Beda	Relax
Bright 	 Echosmith	Relax
Everybody's Changing 	 Keane	Relax
All We Ever Knew 	 The Head and the Heart	Relax
She Will Be Loved 	 Maroon 5	Relax
I Was Wrong - Robin Schulz Remix 	 A R I Z O N A	Relax
Want to Want Me [Acoustic Cover] 	 Megan Davies	Relax
Alaska 	 Maggie Rogers	Relax
Broken 	 Bjonr	Relax
Let It Go 	 James Bay	Relax
Thinkin Bout You 	 Frank Ocean	Relax
September Song - Guitar Acoustic 	 JP Cooper	Relax
Get Low 	 James Vincent McMorrow	Relax
Una y otra vez 	 Manuel Medrano	Relax
SOS (Overboard) 	 Joseph	Relax
Historia Entre Tus Dedos 	 Los Rumberos De Massachusetts	Relax
Climax 	 Usher	Relax
Photograph 	 Ed Sheeran	Relax
Scar 	 Lucy Rose	Relax
Hero 	 Family of the Year	Relax
I Choose You 	 Sara Bareilles	Relax
Each Coming Night 	 Iron & Wine	Relax
You Found Me 	 The Fray	Relax
Wasn't Expecting That 	 Jamie Lawson	Relax
Old Pine 	 Ben Howard	Relax
Over You 	 Thom Hell	Relax
Heartbeats 	 José González	Relax
Budapest 	 George Ezra	Relax
Side To Side 	 Ariana Grande	Motivacional
Titanium (feat. Sia) 	 David Guetta	Motivacional
Closer 	 The Chainsmokers	Motivacional
Starboy 	 The Weeknd	Motivacional
Dynamite 	 Taio Cruz	Motivacional
Let Me Love You 	 DJ Snake	Motivacional
All About That Bass 	 Meghan Trainor	Motivacional
Cold Water 	 Major Lazer	Motivacional
Love Myself 	 Hailee Steinfeld	Motivacional
The Greatest 	 Sia	Motivacional
No Scrubs 	 TLC	Motivacional
Call On Me - Ryan Riback Remix 	 Starley	Motivacional
Cheap Thrills 	 Sia	Motivacional
Party In The U.S.A. 	 Miley Cyrus	Motivacional
This Is What You Came For 	 Calvin Harris	Motivacional
Work from Home 	 Fifth Harmony	Motivacional
September Song 	 JP Cooper	Motivacional
Starships 	 Nicki Minaj	Motivacional
Disturbia 	 Rihanna	Motivacional
Gold 	 Kiiara	Motivacional
Shout Out to My Ex 	 Little Mix	Motivacional
Send My Love (To Your New Lover) 	 Adele	Motivacional
Say It (feat. Tove Lo) 	 Flume	Motivacional
We Can't Stop 	 Miley Cyrus	Motivacional
Hold On	 We're Going Home 	Motivacional
Starving 	 Hailee Steinfeld	Motivacional
Ain't My Fault 	 Zara Larsson	Motivacional
Into You 	 Ariana Grande	Motivacional
Alarm 	 Anne-Marie	Motivacional
Final Song 	 MØ	Motivacional
Hymn For The Weekend - Seeb Remix 	 Coldplay	Motivacional
Don't Let Me Down 	 The Chainsmokers	Motivacional
Lose Control (feat. Ciara & Fat Man Scoop) 	 Missy Elliott	Motivacional
Time of Our Lives 	 Pitbull	Motivacional
Needed Me 	 Rihanna	Motivacional
Stronger 	 Kanye West	Motivacional
Lean On 	 Major Lazer	Motivacional
Halo 	 Beyoncé	Motivacional
Kill Em With Kindness 	 Selena Gomez	Motivacional
Lush Life 	 Zara Larsson	Motivacional
One Dance 	 Drake	Motivacional
Sit Still	 Look Pretty 	Motivacional
Wild Things 	 Alessia Cara	Motivacional
Paper Planes 	 M.I.A.	Motivacional
Sugar (feat. Francesco Yates) 	 Robin Schulz	Motivacional
Elastic Heart 	 Sia	Motivacional
Talking Body 	 Tove Lo	Motivacional
Royals 	 Lorde	Motivacional
We Found Love 	 Calvin Harris	Motivacional
Mad World 	 Michael Andrews	Melancolico
Fake Plastic Trees 	 Radiohead	Melancolico
To Build A Home 	 The Cinematic Orchestra	Melancolico
Speedway 	 Counting Crows	Melancolico
California 	 Robert Ellis	Melancolico
We Never Change 	 Coldplay	Melancolico
Blank Space 	 RHODES	Melancolico
Harder Now That It's Over 	 Ryan Adams	Melancolico
Youth 	 Daughter	Melancolico
Roads 	 Portishead	Melancolico
About Today 	 The National	Melancolico
Guess I'm Doing Fine 	 Beck	Melancolico
9 Crimes 	 Damien Rice	Melancolico
Wake up (Acoustic) 	 Fractures	Melancolico
Flightless Bird	 American Mouth 	Melancolico
Flesh And Bone 	 Keaton Henson	Melancolico
Girl with the Red Balloon 	 The Civil Wars	Melancolico
Island 	 Svrcina	Melancolico
I See Fire 	 Ed Sheeran	Melancolico
When You Love Someone 	 James TW	Melancolico
The Longer I Run 	 Peter Bradley Adams	Melancolico
I'm so Lonesome I Could Cry 	 Hurray For The Riff Raff	Melancolico
Jolene 	 Ray LaMontagne	Melancolico
I And Love And You 	 The Avett Brothers	Melancolico
I Don't Feel It Anymore (Song of the Sparrow) 	 William Fitzsimmons	Melancolico
A Thousand Years 	 Christina Perri	Melancolico
Save You 	 Matthew Perryman Jones	Melancolico
Everybody Hurts 	 R.E.M.	Melancolico
Here Comes A Regular 	 The Replacements	Melancolico
Hallelujah 	 Jeff Buckley	Melancolico
Samson 	 Regina Spektor	Melancolico
Brick 	 Ben Folds Five	Melancolico
Riverside 	 Agnes Obel	Melancolico
Breathe Me 	 Sia	Melancolico
Summertime Sadness 	 Lana Del Rey	Melancolico
Sadness Is A Blessing 	 Lykke Li	Melancolico
Mellon Collie and the Infinite Sadness 	 The Smashing Pumpkins	Melancolico
Split Screen Sadness 	 John Mayer	Melancolico
Wrecking Ball 	 Miley Cyrus	Melancolico
Hate Me 	 Blue October	Melancolico
Sad 	 Maroon 5	Melancolico
When You Break 	 Bear's Den	Melancolico
Another Love 	 Tom Odell	Melancolico
Wasteland 	 Daniel Gidlund	Melancolico
Details in the Fabric (feat. James Morrison) 	 Jason Mraz	Melancolico
Nutshell 	 Alice In Chains	Melancolico
Black 	 Pearl Jam	Melancolico
Something In The Way 	 Nirvana	Melancolico
Hurt 	 Nine Inch Nails	Melancolico
Keep Yourself Warm 	 Frightened Rabbit	Melancolico
Siren Song 	 Bat For Lashes	Melancolico
Something Vague 	 Bright Eyes	Melancolico
Angels 	 Robbie Williams	Melancolico
China 	 Tori Amos	Melancolico
Angel 	 Sarah McLachlan	Melancolico
Famous Blue Raincoat 	 Leonard Cohen	Melancolico
Sorry Seems To Be The Hardest Word 	 Elton John	Melancolico
Good Woman 	 Cat Power	Melancolico
Goodbye My Lover 	 James Blunt	Melancolico
Katy Song 	 Red House Painters	Melancolico
The River 	 PJ Harvey	Melancolico
King's Crossing 	 Elliott Smith	Melancolico
Whole Heart 	 Gryffin	Trafico
Future Pt 2 	 DJ Snake	Trafico
Hymn For The Weekend - Seeb Remix 	 Coldplay	Trafico
Do Us 	 Kweku Saunderson	Trafico
This Is What You Came For 	 Calvin Harris	Trafico
Write On Me 	 Fifth Harmony	Trafico
Is This Love - Remix 	 Bob Marley & The Wailers	Trafico
Netflix and Chill - Original Mix 	 Drianu	Trafico
All I Think About - Extended Remix 	 Yellow Mellow	Trafico
One Dance 	 Drake	Trafico
Faded 	 Alan Walker	Trafico
Dancing Kizomba - Vanrip Remix 	 Alx Veliz	Trafico
I Took A Pill In Ibiza - Seeb Remix 	 Mike Posner	Trafico
Stay 	 Kygo	Trafico
Lovers Friends 	 Möwe	Trafico
Dancing in Flames - Dandy Lion Remix 	 Chinook	Trafico
Sweet Emotion - Montmartre Remix 	 The Kooks	Trafico
Brace (feat. Crazyhype) 	 Oceana	Trafico
Sleep	 for the Weak! - Lost Frequencies Remix 	Trafico
Hundred Miles 	 Yall	Trafico
I'm In Control 	 AlunaGeorge	Trafico
Come To Me (Ofenbach Remix) - Radio Edit 	 Lily & Madeleine	Trafico
Phantom Limb 	 Yellow Mellow	Trafico
Clap Your Hands 	 Whilk & Misky	Trafico
Supergirl - Radio Edit 	 Anna Naklab	Trafico
Ghost Town 	 Adam Lambert	Trafico
Middle 	 DJ Snake	Trafico
Nottamun Town 	 LISTENBEE	Trafico
Ain't Nobody (Loves Me Better) 	 Felix Jaehn	Trafico
Magnets 	 Disclosure	Trafico
Ocean Drive 	 Duke Dumont	Trafico
These Are the Days - Luca Schreiner Remix 	 OMI	Trafico
Let's Go Home (Jawster Remix) 	 Eklo	Trafico
Reality - Radio Edit 	 Lost Frequencies	Trafico
Book Of Love 	 Felix Jaehn	Trafico
Firestone 	 Kygo	Trafico
Show Me Love 	 Robin Schulz	Trafico
Lights - Bakermat Remix 	 Hurts	Trafico
Coming Over (feat. James Hersey) 	 Dillon Francis	Trafico
All That - The Knocks Remix 	 Carly Rae Jepsen	Trafico
Desire - Gryffin Remix 	 Years & Years	Trafico
How Do You Do It 	 Empress Of	Trafico
Give Me Sunshine - Jerome Dub 	 Santa Maradona F.C.	Trafico
Omen - Radio Edit 	 Disclosure	Trafico
Willing & Able 	 Disclosure	Trafico
Are You with Me - Radio Edit 	 Lost Frequencies	Trafico
All In You (feat. Anna Kova) 	 Synapson	Trafico
After Life (Point Point Remix) 	 Tchami	Trafico
Sugar (feat. Francesco Yates) 	 Robin Schulz	Trafico
How Hard I Try 	 filous	Trafico
Nothing Left 	 Kygo	Trafico
Powerful (feat. Ellie Goulding & Tarrus Riley) 	 Major Lazer	Trafico
Say My Name (feat. Zyra) - Hayden James Remix 	 ODESZA	Trafico
Waiting Here - Zwette Remix 	 Jake Isaac	Trafico
Make Me Feel Better - Radio Edit 	 Alex Adair	Trafico
Rivers 	 Thomas Jack	Trafico
Holding On 	 Disclosure	Trafico
Hit Me Like a Drum 	 Parov Stelar	Trafico
Catch & Release (Deepend remix) 	 Matt Simons	Trafico
You Know You Like It 	 DJ Snake	Trafico
The Sun 	 Parov Stelar	Trafico
2 Heads 	 Coleman Hell	Trafico
In My Head 	 Galantis	Trafico
How Hard I Try 	 filous	Trafico
Together - Radio Edit 	 CAZZETTE	Trafico
Powerful (feat. Ellie Goulding & Tarrus Riley) 	 Major Lazer	Trafico
Fast Lane 	 Rationale	Trafico
Feel the Vibe 	 Bob Sinclar	Trafico
King 	 Years & Years	Trafico
Sexual Healing - Kygo Remix 	 Marvin Gaye	Trafico
I Know There's Gonna Be (Good Times) 	 Jamie xx	Trafico
Headlights (feat. Ilsey) 	 Robin Schulz	Trafico
Hold My Hand 	 Jess Glynne	Trafico
Stole the Show 	 Kygo	Trafico
Are You With Me - Radio Edit 	 Lost Frequencies	Trafico
What I've done - Feast. Remix 	 James Hersey	Trafico
Goodbye (feat. Lyse) - Radio Edit 	 Feder	Trafico
Is This Love - Montmartre Remix 	 Bob Marley & The Wailers	Trafico
Déjà vu 	 Giorgio Moroder	Trafico
Peanut Butter Jelly 	 Galantis	Trafico
Hurry Up 	 La+ch	Trafico
Walk 	 Kwabs	Trafico
R E A L 	 LE YOUTH	Trafico
Lean On (feat. MØ & DJ Snake) 	 Major Lazer	Trafico
Fade Out Lines - The Avener Rework 	 The Avener & Phoebe Killdeer	Trafico
Get Free 	 Major Lazer	Trafico
RIVA (Restart the Game) - Radio Edit 	 Klingande	Trafico
Thinking Out Loud - Alex Adair Remix 	 Ed Sheeran	Trafico
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix 	 Robin Schulz	Trafico
ID - Ultra Music Festival Anthem 	 Kygo	Trafico
Back Home 	 MYNGA	Trafico
Nothing Really Matters - Afrojack Remix Radio Edit 	 Mr. Probz	Trafico
The Hanging Tree - Rebel Remix 	 James Newton Howard	Trafico
Ohio - filous Remix 	 Damien Jurado	Trafico
Gold - Thomas Jack Radio Edit 	 Gabriel Rios	Trafico
Pray to God 	 Calvin Harris	Trafico
Younger - Kygo Remix 	 Seinabo Sey	Trafico
Blind Heart - Radio Edit 	 CAZZETTE	Trafico
Real Love 	 Clean Bandit	Trafico
All Night 	 Parov Stelar	Trafico
Problem 	 Pentatonix	Trafico
Latch 	 Disclosure	Trafico
Prayer in C - Robin Schulz Radio Edit 	 Lilly Wood and The Prick	Trafico
Sleepless - Radio Edit 	 CAZZETTE	Trafico
Hideaway 	 Kiesza	Trafico
White Noise 	 Disclosure	Trafico
Baby 	 Warpaint	Enamorado
Only You 	 Joshua Radin	Enamorado
Come Away With Me 	 Norah Jones	Enamorado
Thank You 	 Dido	Enamorado
Another Love 	 Tom Odell	Enamorado
To Build A Home 	 The Cinematic Orchestra	Enamorado
The Moon Song (From ‘Her’) 	 L'Orchestra Cinematique	Enamorado
Lovers' Eyes 	 Mumford & Sons	Enamorado
Together 	 The Raconteurs	Enamorado
Happy 	 Leona Lewis	Enamorado
For the First Time 	 The Script	Enamorado
O Sleep (feat. Ray Lamontagne) 	 Lisa Hannigan	Enamorado
All of Me 	 John Legend	Enamorado
Good Life 	 OneRepublic	Enamorado
I've Got This Friend 	 The Civil Wars	Enamorado
What You Thought You Need 	 Jack Johnson	Enamorado
Stuck On You 	 Meiko	Enamorado
Our Way To Fall 	 Yo La Tengo	Enamorado
Dare You to Move 	 Switchfoot	Enamorado
Amor clandestino 	 Maná	Enamorado
Wonderwall 	 Oasis	Enamorado
Green Eyes 	 Coldplay	Enamorado
Falling Slowly 	 Glen Hansard	Enamorado
I Choose You 	 Sara Bareilles	Enamorado
El amor es una cosa simple 	 Tiziano Ferro	Enamorado
Next to Me 	 Emeli Sandé	Enamorado
Waiting On an Angel 	 Ben Harper	Enamorado
Sing (feat. Damien Rice) 	 Maria Doyle Kennedy	Enamorado
Heartbeats 	 José González	Enamorado
You Found Me 	 The Fray	Enamorado
Gotta Have You 	 The Weepies	Enamorado
Crash into Me 	 Dave Matthews Band	Enamorado
Collide - Acoustic Version 	 Howie Day	Enamorado
Let It Be Me 	 Ray LaMontagne	Enamorado
Come On Get Higher 	 Matt Nathanson	Enamorado
Carry You 	 Dispatch	Enamorado
Hero 	 Family of the Year	Enamorado
Lullabies 	 Yuna	Enamorado
Simple Song 	 The Shins	Enamorado
Kiss 	 Mélanie Laurent	Enamorado
Runaways 	 Sam Feldt	Estudiar
On Hold 	 The xx	Estudiar
Drive (feat. Ezra Carey) 	 Myzica	Estudiar
Lost City 	 Brett	Estudiar
Bring Me a Fire King 	 Bell X1	Estudiar
Ya No Hay Nadie Que Nos Pare 	 TINI	Estudiar
Sorry 	 Liss	Estudiar
Nothing Less 	 Matt Woods	Estudiar
Out Of My System 	 Youngr	Estudiar
For Real 	 Mallrat	Estudiar
Burn Break Crash 	 Aanysa	Estudiar
Catch & Release (Deepend remix) 	 Matt Simons	Estudiar
Don't Be A Fool 	 Shawn Mendes	Estudiar
Tarde 	 Siddhartha	Estudiar
On My Own 	 Bear Mountain	Estudiar
Pokemon in NYC 	 Andrew Applepie	Estudiar
Safe Inside (feat. Passion Pit) 	 Classixx	Estudiar
Knock Me Off My Feet 	 Dan Talevski	Estudiar
Never Say Never 	 The Fray	Estudiar
Sunset 	 The Midnight	Estudiar
Drunk In The Morning 	 Lukas Graham	Estudiar
Just Breathe 	 Benjamin Francis Leftwich	Estudiar
Same Drugs 	 MisterWives	Estudiar
So Special 	 MUNA	Estudiar
Dead End Thrills 	 Cubicolor	Estudiar
Two Feet Off The Ground 	 Sara Hartman	Estudiar
The Hurt Is Gone 	 Yellowcard	Estudiar
"Still Falling For You - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack "	 Ellie Goulding	Estudiar
Make It Work 	 Majid Jordan	Estudiar
Young	 Wild & Free 	Estudiar
In The Night 	 The Weeknd	Estudiar
Graduate 	 Handsome Ghost	Estudiar
Dontcha 	 The Internet	Estudiar
Blue 	 Luna Blake	Estudiar
Instant Crush 	 Daft Punk	Estudiar
We Belong Together 	 Myzica	Estudiar
Boy Problems 	 Carly Rae Jepsen	Estudiar
Cruising with You 	 Heartstreets	Estudiar
Sunday Morning 	 Maroon 5	Estudiar
U-turn 	 Tegan and Sara	Estudiar
Let’s Go 	 Matt and Kim	Estudiar
Without You 	 Ghost Beach	Estudiar
I Am Not A Robot 	 Marina and the Diamonds	Estudiar
Electric Love 	 BØRNS	Estudiar
Do You Remember 	 Jarryd James	Estudiar
Ghost Town 	 Adam Lambert	Estudiar
The High 	 Midas Hutch	Estudiar
Hotels 	 Hotel Apache	Estudiar
Promiseland 	 [SEBELL]	Estudiar
Electric 	 Alice Jemima	Estudiar
XO 	 Nightly	Estudiar
Cluster One 	 Pink Floyd	Estudiar
What Do You Want from Me 	 Pink Floyd	Estudiar
Poles Apart 	 Pink Floyd	Estudiar
Marooned 	 Pink Floyd	Estudiar
A Great Day for Freedom 	 Pink Floyd	Estudiar
Wearing the Inside Out 	 Pink Floyd	Estudiar
Take It Back 	 Pink Floyd	Estudiar
Coming Back to Life 	 Pink Floyd	Estudiar
Keep Talking 	 Pink Floyd	Estudiar
Lost for Words 	 Pink Floyd	Estudiar
High Hopes 	 Pink Floyd	Estudiar
Speak To Me - 2011 Remastered Version 	 Pink Floyd	Estudiar
Breathe (In The Air) [2011 Remastered Version] 	 Pink Floyd	Estudiar
On The Run - 2011 Remastered Version 	 Pink Floyd	Estudiar
Time - 2011 Remastered Version 	 Pink Floyd	Estudiar
The Great Gig In The Sky - 2011 Remastered Version 	 Pink Floyd	Estudiar
Money 	 Pink Floyd	Estudiar
Us and Them 	 Pink Floyd	Estudiar
Any Colour You Like 	 Pink Floyd	Estudiar
Brain Damage 	 Pink Floyd	Estudiar
Eclipse 	 Pink Floyd	Estudiar
Comfortably Numb - 2011 Remastered Version 	 Pink Floyd	Estudiar
Electric Daisy Violin 	 Lindsey Stirling	Estudiar
Zi-Zi's Journey 	 Lindsey Stirling	Estudiar
Crystallize 	 Lindsey Stirling	Estudiar
Song Of The Caged Bird 	 Lindsey Stirling	Estudiar
Moon Trance 	 Lindsey Stirling	Estudiar
Minimal Beat 	 Lindsey Stirling	Estudiar
Transcendence 	 Lindsey Stirling	Estudiar
Elements 	 Lindsey Stirling	Estudiar
Shadows 	 Lindsey Stirling	Estudiar
Spontaneous Me 	 Lindsey Stirling	Estudiar
Anti Gravity 	 Lindsey Stirling	Estudiar
Stars Align 	 Lindsey Stirling	Estudiar
Beyond The Veil 	 Lindsey Stirling	Estudiar
Mirror Haus 	 Lindsey Stirling	Estudiar
V-Pop 	 Lindsey Stirling	Estudiar
Shatter Me Featuring Lzzy Hale 	 Lindsey Stirling	Estudiar
Heist 	 Lindsey Stirling	Estudiar
Roundtable Rival 	 Lindsey Stirling	Estudiar
Night Vision 	 Lindsey Stirling	Estudiar
Take Flight 	 Lindsey Stirling	Estudiar
Ascendance 	 Lindsey Stirling	Estudiar
We Are Giants 	 Lindsey Stirling	Estudiar
Swag 	 Lindsey Stirling	Estudiar
Master Of Tides 	 Lindsey Stirling	Estudiar
Shine On You Crazy Diamond (Pts. 1-5, 7) - Live	Pink Floyd	Estudiar
Astronomy Domine - Live 	 Pink Floyd	Estudiar
What Do You Want From Me - Live 	 Pink Floyd	Estudiar
Learning to Fly - Live 	 Pink Floyd	Estudiar
Keep Talking - Live 	 Pink Floyd	Estudiar
Coming Back To Life - Live 	 Pink Floyd	Estudiar
Hey You - Live 	 Pink Floyd	Estudiar
A Great Day For Freedom - Live 	 Pink Floyd	Estudiar
Sorrow - Live 	 Pink Floyd	Estudiar
High Hopes - Live 	 Pink Floyd	Estudiar
Another Brick in the Wall	 (Pt. 2) - Live 	Estudiar
Speak To Me - Live 	 Pink Floyd	Estudiar
Breathe - Live 	 Pink Floyd	Estudiar
On The Run - Live 	 Pink Floyd	Estudiar
Time - Live 	 Pink Floyd	Estudiar
The Great Gig In The Sky - Live 	 Pink Floyd	Estudiar
Money - Live 	 Pink Floyd	Estudiar
Us And Them - Live 	 Pink Floyd	Estudiar
Any Colour You Like - Live 	 Pink Floyd	Estudiar
Brain Damage - Live 	 Pink Floyd	Estudiar
Eclipse - Live 	 Pink Floyd	Estudiar
Wish You Were Here - Live 	 Pink Floyd	Estudiar
Comfortably Numb - Live 	 Pink Floyd	Estudiar
Run Like Hell - Live 	 Pink Floyd	Estudiar
All We Know 	 The Chainsmokers	Despertarse
Burn Break Crash 	 Aanysa	Despertarse
Mercy 	 Shawn Mendes	Despertarse
Say You Won't Let Go 	 James Arthur	Despertarse
24K Magic 	 Bruno Mars	Despertarse
Shout Out to My Ex 	 Little Mix	Despertarse
By Your Side 	 Jonas Blue	Despertarse
Body Moves 	 DNCE	Despertarse
On What You're On 	 Busted	Despertarse
Ya No Hay Nadie Que Nos Pare 	 TINI	Despertarse
Llegaste tú (feat. reykon) 	 Sofia Reyes	Despertarse
