artista;estado
 Lucy Rose;Relax
 Family of the Year;Relax
 Sara Bareilles;Relax
 Iron & Wine;Relax
 The Fray;Relax
 Jamie Lawson;Relax
 Ben Howard;Relax
 Thom Hell;Relax
 José González;Relax
 George Ezra;Relax
 David Guetta;Motivacional
 The Chainsmokers;Motivacional
 The Weeknd;Motivacional
 Taio Cruz;Motivacional
 DJ Snake;Motivacional
 Major Lazer;Motivacional
 Hailee Steinfeld;Motivacional
 TLC;Motivacional
 Starley;Motivacional
 Miley Cyrus;Motivacional
 Calvin Harris;Motivacional
 Fifth Harmony;Motivacional
 Nicki Minaj;Motivacional
 Rihanna;Motivacional
 Kiiara;Motivacional
 Little Mix;Motivacional
 Flume;Motivacional
 We're Going Home ;Motivacional
 Zara Larsson;Motivacional
 Anne-Marie;Motivacional
 MØ;Motivacional
 Missy Elliott;Motivacional
 Pitbull;Motivacional
 Kanye West;Motivacional
 Selena Gomez;Motivacional
 Drake;Motivacional
 Look Pretty ;Motivacional
 M.I.A.;Motivacional
 Robin Schulz;Motivacional
 Tove Lo;Motivacional
 Lorde;Motivacional
 Michael Andrews;Melancolico
 Radiohead;Melancolico
 The Cinematic Orchestra;Melancolico
 Counting Crows;Melancolico
 Robert Ellis;Melancolico
 RHODES;Melancolico
 Ryan Adams;Melancolico
 Daughter;Melancolico
 Portishead;Melancolico
 The National;Melancolico
 Beck;Melancolico
 Damien Rice;Melancolico
 Fractures;Melancolico
 American Mouth ;Melancolico
 Keaton Henson;Melancolico
 The Civil Wars;Melancolico
 Svrcina;Melancolico
 James TW;Melancolico
 Peter Bradley Adams;Melancolico
 Hurray For The Riff Raff;Melancolico
 Ray LaMontagne;Melancolico
 The Avett Brothers;Melancolico
 William Fitzsimmons;Melancolico
 Matthew Perryman Jones;Melancolico
 R.E.M.;Melancolico
 The Replacements;Melancolico
 Jeff Buckley;Melancolico
 Regina Spektor;Melancolico
 Ben Folds Five;Melancolico
 Agnes Obel;Melancolico
 Lana Del Rey;Melancolico
 Lykke Li;Melancolico
 The Smashing Pumpkins;Melancolico
 Blue October;Melancolico
 Bear's Den;Melancolico
 Tom Odell;Melancolico
 Daniel Gidlund;Melancolico
 Jason Mraz;Melancolico
 Alice In Chains;Melancolico
 Pearl Jam;Melancolico
 Nirvana;Melancolico
 Nine Inch Nails;Melancolico
 Frightened Rabbit;Melancolico
 Bat For Lashes;Melancolico
 Bright Eyes;Melancolico
 Robbie Williams;Melancolico
 Tori Amos;Melancolico
 Sarah McLachlan;Melancolico
 Leonard Cohen;Melancolico
 Elton John;Melancolico
 Cat Power;Melancolico
 Red House Painters;Melancolico
 PJ Harvey;Melancolico
 Elliott Smith;Melancolico
 Gryffin;Trafico
 Kweku Saunderson;Trafico
 Bob Marley & The Wailers;Trafico
 Drianu;Trafico
 Yellow Mellow;Trafico
 Alan Walker;Trafico
 Alx Veliz;Trafico
 Mike Posner;Trafico
 Kygo;Trafico
 Möwe;Trafico
 Chinook;Trafico
 The Kooks;Trafico
 Oceana;Trafico
 for the Weak! - Lost Frequencies Remix ;Trafico
 Yall;Trafico
 AlunaGeorge;Trafico
 Lily & Madeleine;Trafico
 Whilk & Misky;Trafico
 Anna Naklab;Trafico
 Adam Lambert;Trafico
 LISTENBEE;Trafico
 Felix Jaehn;Trafico
 Disclosure;Trafico
 Duke Dumont;Trafico
 OMI;Trafico
 Eklo;Trafico
 Lost Frequencies;Trafico
 Hurts;Trafico
 Dillon Francis;Trafico
 Carly Rae Jepsen;Trafico
 Years & Years;Trafico
 Empress Of;Trafico
 Santa Maradona F.C.;Trafico
 Synapson;Trafico
 Tchami;Trafico
 filous;Trafico
 ODESZA;Trafico
 Jake Isaac;Trafico
 Alex Adair;Trafico
 Thomas Jack;Trafico
 Parov Stelar;Trafico
 Matt Simons;Trafico
 Coleman Hell;Trafico
 Galantis;Trafico
 CAZZETTE;Trafico
 Rationale;Trafico
 Bob Sinclar;Trafico
 Marvin Gaye;Trafico
 Jamie xx;Trafico
 Jess Glynne;Trafico
 Feder;Trafico
 Giorgio Moroder;Trafico
 La+ch;Trafico
 Kwabs;Trafico
 LE YOUTH;Trafico
 The Avener & Phoebe Killdeer;Trafico
 Klingande;Trafico
 MYNGA;Trafico
 Mr. Probz;Trafico
 James Newton Howard;Trafico
 Damien Jurado;Trafico
 Gabriel Rios;Trafico
 Seinabo Sey;Trafico
 Clean Bandit;Trafico
 Pentatonix;Trafico
 Lilly Wood and The Prick;Trafico
 Kiesza;Trafico
 Warpaint;Enamorado
 Joshua Radin;Enamorado
 Norah Jones;Enamorado
 Dido;Enamorado
 L'Orchestra Cinematique;Enamorado
 Mumford & Sons;Enamorado
 The Raconteurs;Enamorado
 Leona Lewis;Enamorado
 The Script;Enamorado
 Lisa Hannigan;Enamorado
 OneRepublic;Enamorado
 Jack Johnson;Enamorado
 Meiko;Enamorado
 Yo La Tengo;Enamorado
 Switchfoot;Enamorado
 Maná;Enamorado
 Oasis;Enamorado
 Glen Hansard;Enamorado
 Tiziano Ferro;Enamorado
 Emeli Sandé;Enamorado
 Ben Harper;Enamorado
 Maria Doyle Kennedy;Enamorado
 The Weepies;Enamorado
 Dave Matthews Band;Enamorado
 Howie Day;Enamorado
 Matt Nathanson;Enamorado
 Dispatch;Enamorado
 Yuna;Enamorado
 The Shins;Enamorado
 Mélanie Laurent;Enamorado
 Sam Feldt;Estudiar
 The xx;Estudiar
 Myzica;Estudiar
 Brett;Estudiar
 Bell X1;Estudiar
 TINI;Estudiar
 Liss;Estudiar
 Matt Woods;Estudiar
 Youngr;Estudiar
 Mallrat;Estudiar
 Aanysa;Estudiar
 Siddhartha;Estudiar
 Bear Mountain;Estudiar
 Andrew Applepie;Estudiar
 Classixx;Estudiar
 Dan Talevski;Estudiar
 The Midnight;Estudiar
 Lukas Graham;Estudiar
 Benjamin Francis Leftwich;Estudiar
 MisterWives;Estudiar
 MUNA;Estudiar
 Cubicolor;Estudiar
 Sara Hartman;Estudiar
 Yellowcard;Estudiar
 Ellie Goulding;Estudiar
 Majid Jordan;Estudiar
 Wild & Free ;Estudiar
 Handsome Ghost;Estudiar
 The Internet;Estudiar
 Luna Blake;Estudiar
 Daft Punk;Estudiar
 Heartstreets;Estudiar
 Tegan and Sara;Estudiar
 Matt and Kim;Estudiar
 Ghost Beach;Estudiar
 Marina and the Diamonds;Estudiar
 BØRNS;Estudiar
 Jarryd James;Estudiar
 Midas Hutch;Estudiar
 Hotel Apache;Estudiar
 [SEBELL];Estudiar
 Alice Jemima;Estudiar
 Nightly;Estudiar
 Pink Floyd;Estudiar
 Lindsey Stirling;Estudiar
Pink Floyd;Estudiar
 (Pt. 2) - Live ;Estudiar
 James Arthur;Despertarse
 Jonas Blue;Despertarse
 DNCE;Despertarse
 Busted;Despertarse
 Sofia Reyes;Despertarse
 Terror Jr;Despertarse
 Bloc Party;Despertarse
 CNCO;Despertarse
 Dua Lipa;Despertarse
 Fly by Midnight;Despertarse
 Crystal Fighters;Despertarse
 Goldroom;Despertarse
 gnash;Despertarse
 Sebastian Yatra;Despertarse
 La Oreja de Van Gogh;Despertarse
 Olly Murs;Despertarse
 Alvaro Soler;Despertarse
 Empire of the Sun;Despertarse
 Jason Derulo;Despertarse
 Roosevelt;Despertarse
 5 Seconds of Summer;Despertarse
 Ana Mena;Despertarse
 ALMA;Despertarse
 BRAVVO;Despertarse
 AURORA;Leer
 Molly Parden;Leer
 Miranda Lambert;Leer
 Hozier;Leer
 Ramon Mirabet;Leer
 Cologne ;Leer
 Eliza and the Bear;Leer
 Broods;Leer
 James Morrison;Leer
 Emily Asen;Leer
 Aaron Espe;Leer
 Kaleo;Leer
 Chris Bathgate;Leer
 Tyler Lyle;Leer
 Doug Burr;Leer
 Max Jury;Leer
 Crissi Cochrane;Leer
 Nathan Roberts;Leer
 Julien Baker;Leer
 Chris Stapleton;Leer
 Schuyler Fisk;Leer
 Father John Misty;Leer
 Sara Watkins;Leer
 Belize;Leer
 Cara Dillon;Leer
 Susie Suh;Leer
 Dougie MacLean;Leer
 Priscilla Ahn;Leer
 Beta Radio;Leer
 Sumie;Leer
 Isbells;Leer
 Over The Rhine;Leer
 Jasmine Kennedy;Leer
 Nashville Cast;Leer
 Blossoms;Leer
 Tristan Prettyman;Leer
 Redbird;Leer
 Bon Iver;Leer
 Chris O'Brien;Leer
 Dralms;Leer
 Flo Morrissey;Leer
 Widowspeak;Leer
 SOAK;Leer
 Greg Holden;Leer
 Band of Horses;Leer
 Brett Bixby;Leer
