Thinkin Bout You , Frank Ocean,
September Song - Guitar Acoustic , JP Cooper,
Get Low , James Vincent McMorrow,
Una y otra vez , Manuel Medrano,
SOS (Overboard) , Joseph,
Historia Entre Tus Dedos , Los Rumberos De Massachusetts,
Climax , Usher,
Photograph , Ed Sheeran,
Scar , Lucy Rose,
Hero , Family of the Year,
I Choose You , Sara Bareilles,
Each Coming Night , Iron & Wine,
You Found Me , The Fray,
Wasn't Expecting That , Jamie Lawson,
Old Pine , Ben Howard,
Over You , Thom Hell,
Heartbeats , José González,
Budapest , George Ezra,
Side To Side , Ariana Grande,
Titanium (feat. Sia) , David Guetta,
Closer , The Chainsmokers,
Starboy , The Weeknd,
Dynamite , Taio Cruz,
Let Me Love You , DJ Snake,
All About That Bass , Meghan Trainor,
Cold Water , Major Lazer,
Love Myself , Hailee Steinfeld,
The Greatest , Sia,
No Scrubs , TLC,
Call On Me - Ryan Riback Remix , Starley,
Cheap Thrills , Sia,
Party In The U.S.A. , Miley Cyrus,
This Is What You Came For , Calvin Harris,
Work from Home , Fifth Harmony,
September Song , JP Cooper,
Starships , Nicki Minaj,
Disturbia , Rihanna,
Gold , Kiiara,
Shout Out to My Ex , Little Mix,
Send My Love (To Your New Lover) , Adele,
Say It (feat. Tove Lo) , Flume,
We Can't Stop , Miley Cyrus,
Hold On, We're Going Home ,
Starving , Hailee Steinfeld,
Ain't My Fault , Zara Larsson,
Into You , Ariana Grande,
Alarm , Anne-Marie,
Final Song , MØ,
Hymn For The Weekend - Seeb Remix , Coldplay,
Don't Let Me Down , The Chainsmokers,
Lose Control (feat. Ciara & Fat Man Scoop) , Missy Elliott,
Time of Our Lives , Pitbull,
Needed Me , Rihanna,
Stronger , Kanye West,
Lean On , Major Lazer,
Halo , Beyoncé,
Kill Em With Kindness , Selena Gomez,
Lush Life , Zara Larsson,
One Dance , Drake,
Sit Still, Look Pretty ,
Wild Things , Alessia Cara,
Paper Planes , M.I.A.,
Sugar (feat. Francesco Yates) , Robin Schulz,
Elastic Heart , Sia,
Talking Body , Tove Lo,
Royals , Lorde,
We Found Love , Calvin Harris,
Mad World , Michael Andrews,
Fake Plastic Trees , Radiohead,
To Build A Home , The Cinematic Orchestra,
Speedway , Counting Crows,
California , Robert Ellis,
We Never Change , Coldplay,
Blank Space , RHODES,
Harder Now That It's Over , Ryan Adams,
Youth , Daughter,
Roads , Portishead,
About Today , The National,
Guess I'm Doing Fine , Beck,
9 Crimes , Damien Rice,
Wake up (Acoustic) , Fractures,
Flightless Bird, American Mouth ,
Flesh And Bone , Keaton Henson,
Girl with the Red Balloon , The Civil Wars,
Island , Svrcina,
I See Fire , Ed Sheeran,
When You Love Someone , James TW,
The Longer I Run , Peter Bradley Adams,
I'm so Lonesome I Could Cry , Hurray For The Riff Raff,
Jolene , Ray LaMontagne,
I And Love And You , The Avett Brothers,
I Don't Feel It Anymore (Song of the Sparrow) , William Fitzsimmons,
A Thousand Years , Christina Perri,
Save You , Matthew Perryman Jones,
Everybody Hurts , R.E.M.,
Here Comes A Regular , The Replacements,
Hallelujah , Jeff Buckley,
Samson , Regina Spektor,
Brick , Ben Folds Five,
Riverside , Agnes Obel,
Breathe Me , Sia,
Summertime Sadness , Lana Del Rey,
Sadness Is A Blessing , Lykke Li,
Mellon Collie and the Infinite Sadness , The Smashing Pumpkins,
Split Screen Sadness , John Mayer,
Wrecking Ball , Miley Cyrus,
Hate Me , Blue October,
Sad , Maroon 5,
When You Break , Bear's Den,
Another Love , Tom Odell,
Wasteland , Daniel Gidlund,
Details in the Fabric (feat. James Morrison) , Jason Mraz,
Nutshell , Alice In Chains,
Black , Pearl Jam,
Something In The Way , Nirvana,
Hurt , Nine Inch Nails,
Keep Yourself Warm , Frightened Rabbit,
Siren Song , Bat For Lashes,
Something Vague , Bright Eyes,
Angels , Robbie Williams,
China , Tori Amos,
Angel , Sarah McLachlan,
Famous Blue Raincoat , Leonard Cohen,
Sorry Seems To Be The Hardest Word , Elton John,
Good Woman , Cat Power,
Goodbye My Lover , James Blunt,
Katy Song , Red House Painters,
The River , PJ Harvey,
King's Crossing , Elliott Smith,
Whole Heart , Gryffin,
Future Pt 2 , DJ Snake,
Hymn For The Weekend - Seeb Remix , Coldplay,
Do Us , Kweku Saunderson,
This Is What You Came For , Calvin Harris,
Write On Me , Fifth Harmony,
Is This Love - Remix , Bob Marley & The Wailers,
Netflix and Chill - Original Mix , Drianu,
All I Think About - Extended Remix , Yellow Mellow,
One Dance , Drake,
Faded , Alan Walker,
Dancing Kizomba - Vanrip Remix , Alx Veliz,
I Took A Pill In Ibiza - Seeb Remix , Mike Posner,
Stay , Kygo,
Lovers Friends , Möwe,
Dancing in Flames - Dandy Lion Remix , Chinook,
Sweet Emotion - Montmartre Remix , The Kooks,
Brace (feat. Crazyhype) , Oceana,
Sleep, for the Weak! - Lost Frequencies Remix ,
Hundred Miles , Yall,
I'm In Control , AlunaGeorge,
Come To Me (Ofenbach Remix) - Radio Edit , Lily & Madeleine,
Phantom Limb , Yellow Mellow,
Clap Your Hands , Whilk & Misky,
Supergirl - Radio Edit , Anna Naklab,
Ghost Town , Adam Lambert,
Middle , DJ Snake,
Nottamun Town , LISTENBEE,
Ain't Nobody (Loves Me Better) , Felix Jaehn,
Magnets , Disclosure,
Ocean Drive , Duke Dumont,
These Are the Days - Luca Schreiner Remix , OMI,
Let's Go Home (Jawster Remix) , Eklo,
Reality - Radio Edit , Lost Frequencies,
Book Of Love , Felix Jaehn,
Firestone , Kygo,
Show Me Love , Robin Schulz,
Lights - Bakermat Remix , Hurts,
Coming Over (feat. James Hersey) , Dillon Francis,
All That - The Knocks Remix , Carly Rae Jepsen,
Desire - Gryffin Remix , Years & Years,
How Do You Do It , Empress Of,
Give Me Sunshine - Jerome Dub , Santa Maradona F.C.,
Omen - Radio Edit , Disclosure,
Willing & Able , Disclosure,
Are You with Me - Radio Edit , Lost Frequencies,
All In You (feat. Anna Kova) , Synapson,
After Life (Point Point Remix) , Tchami,
Sugar (feat. Francesco Yates) , Robin Schulz,
How Hard I Try , filous,
Nothing Left , Kygo,
Powerful (feat. Ellie Goulding & Tarrus Riley) , Major Lazer,
Say My Name (feat. Zyra) - Hayden James Remix , ODESZA,
Waiting Here - Zwette Remix , Jake Isaac,
Make Me Feel Better - Radio Edit , Alex Adair,
Rivers , Thomas Jack,
Holding On , Disclosure,
Hit Me Like a Drum , Parov Stelar,
Catch & Release (Deepend remix) , Matt Simons,
You Know You Like It , DJ Snake,
The Sun , Parov Stelar,
2 Heads , Coleman Hell,
In My Head , Galantis,
How Hard I Try , filous,
Together - Radio Edit , CAZZETTE,
Powerful (feat. Ellie Goulding & Tarrus Riley) , Major Lazer,
Fast Lane , Rationale,
Feel the Vibe , Bob Sinclar,
King , Years & Years,
Sexual Healing - Kygo Remix , Marvin Gaye,
I Know There's Gonna Be (Good Times) , Jamie xx,
Headlights (feat. Ilsey) , Robin Schulz,
Hold My Hand , Jess Glynne,
Stole the Show , Kygo,
Are You With Me - Radio Edit , Lost Frequencies,
What I've done - Feast. Remix , James Hersey,
Goodbye (feat. Lyse) - Radio Edit , Feder,
Is This Love - Montmartre Remix , Bob Marley & The Wailers,
Déjà vu , Giorgio Moroder,
Peanut Butter Jelly , Galantis,
Hurry Up , La+ch,
Walk , Kwabs,
R E A L , LE YOUTH,
Lean On (feat. MØ & DJ Snake) , Major Lazer,
Fade Out Lines - The Avener Rework , The Avener & Phoebe Killdeer,
Get Free , Major Lazer,
RIVA (Restart the Game) - Radio Edit , Klingande,
Thinking Out Loud - Alex Adair Remix , Ed Sheeran,
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix , Robin Schulz,
ID - Ultra Music Festival Anthem , Kygo,
Back Home , MYNGA,
Nothing Really Matters - Afrojack Remix Radio Edit , Mr. Probz,
The Hanging Tree - Rebel Remix , James Newton Howard,
Ohio - filous Remix , Damien Jurado,
Gold - Thomas Jack Radio Edit , Gabriel Rios,
Pray to God , Calvin Harris,
Younger - Kygo Remix , Seinabo Sey,
Blind Heart - Radio Edit , CAZZETTE,
Real Love , Clean Bandit,
All Night , Parov Stelar,
Problem , Pentatonix,
Latch , Disclosure,
Prayer in C - Robin Schulz Radio Edit , Lilly Wood and The Prick,
Sleepless - Radio Edit , CAZZETTE,
Hideaway , Kiesza,
White Noise , Disclosure,
Baby , Warpaint,
Only You , Joshua Radin,
Come Away With Me , Norah Jones,
Thank You , Dido,
Another Love , Tom Odell,
To Build A Home , The Cinematic Orchestra,
The Moon Song (From ‘Her’) , L'Orchestra Cinematique,
Lovers' Eyes , Mumford & Sons,
Together , The Raconteurs,
Happy , Leona Lewis,
For the First Time , The Script,
O Sleep (feat. Ray Lamontagne) , Lisa Hannigan,
All of Me , John Legend,
Good Life , OneRepublic,
I've Got This Friend , The Civil Wars,
What You Thought You Need , Jack Johnson,
Stuck On You , Meiko,
Our Way To Fall , Yo La Tengo,
Dare You to Move , Switchfoot,
Amor clandestino , Maná,
Wonderwall , Oasis,
Green Eyes , Coldplay,
Falling Slowly , Glen Hansard,
I Choose You , Sara Bareilles,
El amor es una cosa simple , Tiziano Ferro,
Next to Me , Emeli Sandé,
Waiting On an Angel , Ben Harper,
Sing (feat. Damien Rice) , Maria Doyle Kennedy,
Heartbeats , José González,
You Found Me , The Fray,
Gotta Have You , The Weepies,
Crash into Me , Dave Matthews Band,
Collide - Acoustic Version , Howie Day,
Let It Be Me , Ray LaMontagne,
Come On Get Higher , Matt Nathanson,
Carry You , Dispatch,
Hero , Family of the Year,
Lullabies , Yuna,
Simple Song , The Shins,
Kiss , Mélanie Laurent,
Runaways , Sam Feldt,
On Hold , The xx,
Drive (feat. Ezra Carey) , Myzica,
Lost City , Brett,
Bring Me a Fire King , Bell X1,
Ya No Hay Nadie Que Nos Pare , TINI,
Sorry , Liss,
Nothing Less , Matt Woods,
Out Of My System , Youngr,
For Real , Mallrat,
Burn Break Crash , Aanysa,
Catch & Release (Deepend remix) , Matt Simons,
Don't Be A Fool , Shawn Mendes,
Tarde , Siddhartha,
On My Own , Bear Mountain,
Pokemon in NYC , Andrew Applepie,
Safe Inside (feat. Passion Pit) , Classixx,
Knock Me Off My Feet , Dan Talevski,
Never Say Never , The Fray,
Sunset , The Midnight,
Drunk In The Morning , Lukas Graham,
Just Breathe , Benjamin Francis Leftwich,
Same Drugs , MisterWives,
So Special , MUNA,
Dead End Thrills , Cubicolor,
Two Feet Off The Ground , Sara Hartman,
The Hurt Is Gone , Yellowcard,
"Still Falling For You - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack ", Ellie Goulding,
Make It Work , Majid Jordan,
Young, Wild & Free ,
In The Night , The Weeknd,
Graduate , Handsome Ghost,
Dontcha , The Internet,
Blue , Luna Blake,
Instant Crush , Daft Punk,
We Belong Together , Myzica,
Boy Problems , Carly Rae Jepsen,
Cruising with You , Heartstreets,
Sunday Morning , Maroon 5,
U-turn , Tegan and Sara,
Let’s Go , Matt and Kim,
Without You , Ghost Beach,
I Am Not A Robot , Marina and the Diamonds,
Electric Love , BØRNS,
Do You Remember , Jarryd James,
Ghost Town , Adam Lambert,
The High , Midas Hutch,
Hotels , Hotel Apache,
Promiseland , [SEBELL],
Electric , Alice Jemima,
XO , Nightly,
Cluster One , Pink Floyd,
What Do You Want from Me , Pink Floyd,
Poles Apart , Pink Floyd,
Marooned , Pink Floyd,
A Great Day for Freedom , Pink Floyd,
Wearing the Inside Out , Pink Floyd,
Take It Back , Pink Floyd,
Coming Back to Life , Pink Floyd,
Keep Talking , Pink Floyd,
Lost for Words , Pink Floyd,
High Hopes , Pink Floyd,
Speak To Me - 2011 Remastered Version , Pink Floyd,
Breathe (In The Air) [2011 Remastered Version] , Pink Floyd,
On The Run - 2011 Remastered Version , Pink Floyd,
Time - 2011 Remastered Version , Pink Floyd,
The Great Gig In The Sky - 2011 Remastered Version , Pink Floyd,
Money , Pink Floyd,
Us and Them , Pink Floyd,
Any Colour You Like , Pink Floyd,
Brain Damage , Pink Floyd,
Eclipse , Pink Floyd,
Comfortably Numb - 2011 Remastered Version , Pink Floyd,
Electric Daisy Violin , Lindsey Stirling,
Zi-Zi's Journey , Lindsey Stirling,
Crystallize , Lindsey Stirling,
Song Of The Caged Bird , Lindsey Stirling,
Moon Trance , Lindsey Stirling,
Minimal Beat , Lindsey Stirling,
Transcendence , Lindsey Stirling,
Elements , Lindsey Stirling,
Shadows , Lindsey Stirling,
Spontaneous Me , Lindsey Stirling,
Anti Gravity , Lindsey Stirling,
Stars Align , Lindsey Stirling,
Beyond The Veil , Lindsey Stirling,
Mirror Haus , Lindsey Stirling,
V-Pop , Lindsey Stirling,
Shatter Me Featuring Lzzy Hale , Lindsey Stirling,
Heist , Lindsey Stirling,
Roundtable Rival , Lindsey Stirling,
Night Vision , Lindsey Stirling,
Take Flight , Lindsey Stirling,
Ascendance , Lindsey Stirling,
We Are Giants , Lindsey Stirling,
Swag , Lindsey Stirling,
Master Of Tides , Lindsey Stirling,
Shine On You Crazy Diamond (Pts. 1-5, 7) - Live,Pink Floyd,
Astronomy Domine - Live , Pink Floyd,
What Do You Want From Me - Live , Pink Floyd,
Learning to Fly - Live , Pink Floyd,
Keep Talking - Live , Pink Floyd,
Coming Back To Life - Live , Pink Floyd,
Hey You - Live , Pink Floyd,
A Great Day For Freedom - Live , Pink Floyd,
Sorrow - Live , Pink Floyd,
High Hopes - Live , Pink Floyd,
Another Brick in the Wall, (Pt. 2) - Live ,
Speak To Me - Live , Pink Floyd,
Breathe - Live , Pink Floyd,
On The Run - Live , Pink Floyd,
Time - Live , Pink Floyd,
The Great Gig In The Sky - Live , Pink Floyd,
Money - Live , Pink Floyd,
Us And Them - Live , Pink Floyd,
Any Colour You Like - Live , Pink Floyd,
Brain Damage - Live , Pink Floyd,
Eclipse - Live , Pink Floyd,
Wish You Were Here - Live , Pink Floyd,
Comfortably Numb - Live , Pink Floyd,
Run Like Hell - Live , Pink Floyd,
All We Know , The Chainsmokers,
Burn Break Crash , Aanysa,
Mercy , Shawn Mendes,
Say You Won't Let Go , James Arthur,
24K Magic , Bruno Mars,
Shout Out to My Ex , Little Mix,
By Your Side , Jonas Blue,
Body Moves , DNCE,
On What You're On , Busted,
Ya No Hay Nadie Que Nos Pare , TINI,
Llegaste tú (feat. reykon) , Sofia Reyes,
Come First , Terror Jr,
Stunt Queen , Bloc Party,
Anywhere , Dillon Francis,
Starboy , The Weeknd,
Chica Bonita , Adiós París,
Reggaetón Lento (Bailemos) , CNCO,
Future Looks Good , OneRepublic,
Blow Your Mind (Mwah) , Dua Lipa,
"Meteorite - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack ", Years & Years,
Hotels , Hotel Apache,
Let Me Love You , DJ Snake,
Would I Lie To You - Radio Edit , David Guetta,
Cool Girl , Tove Lo,
This Town , Fly by Midnight,
The Greatest , Sia,
Side To Side , Ariana Grande,
All Night , Crystal Fighters,
Retrograde , Goldroom,
something , gnash,
September Song , JP Cooper,
Traicionera , Sebastian Yatra,
Hurts , Emeli Sandé,
Verano , La Oreja de Van Gogh,
Mama Said , Lukas Graham,
Grow Up , Olly Murs,
Libre , Alvaro Soler,
Alarm , Anne-Marie,
High And Low , Empire of the Sun,
Somewhere New - Radio Edit , Klingande,
Kiss the Sky , Jason Derulo,
Bonfire , Felix Jaehn,
Fever , Roosevelt,
"Girls Talk Boys - From ""Ghostbusters"" Original Motion Picture Soundtrack ", 5 Seconds of Summer,
Bleeding Heart , Regina Spektor,
Loco Como Yo , Ana Mena,
Karma , ALMA,
Let Me Go , BRAVVO,
When You Love Someone , James TW,
Half The World Away , AURORA,
Seasons of Love , Molly Parden,
Vice , Miranda Lambert,
Like Real People Do , Hozier,
Wake up - Acústico , Ramon Mirabet,
Life On Mars , AURORA,
Put On, Cologne ,
It Gets Cold - Acoustic , Eliza and the Bear,
We Are The People - Live From Spotify London / 2014 , Broods,
Just Like A Child , James Morrison,
Crazy (Gnarls Barkley Cover) , Emily Asen,
Making All Things New , Aaron Espe,
All The Pretty Girls , Kaleo,
Serpentine , Chris Bathgate,
Anyhow... , Tyler Lyle,
Do You Hear Wedding Bells (Low Down Version) , Doug Burr,
Home , Max Jury,
Pretty Words , Crissi Cochrane,
Here Comes the Sun , Nathan Roberts,
Everybody Does , Julien Baker,
Tenerife Sea , Ed Sheeran,
More Of You , Chris Stapleton,
Fall Apart Today , Schuyler Fisk,
The Night Josh Tillman Came To Our Apt. , Father John Misty,
Cherry Wine - Live , Hozier,
Be My Husband , Sara Watkins,
Little Secrets , Belize,
The Parting Glass , Cara Dillon,
Feather In the Wind , Susie Suh,
Caledonia , Dougie MacLean,
Dream , Priscilla Ahn,
On the Frame , Beta Radio,
Spells You , Sumie,
I Do , Susie Suh,
Elation , Isbells,
Let It Go - Live From Spotify London/2015 , James Bay,
Meet Me At The Edge Of The World , Over The Rhine,
Percy Anderson , Jasmine Kennedy,
This Is What I Need To Say , Nashville Cast,
Stormy , Blossoms,
Say Anything , Tristan Prettyman,
Imagine , Jack Johnson,
Oh Please My Heart , Redbird,
Billie Jean , The Civil Wars,
Wash. , Bon Iver,
I Had to Carry Her (Virginias Song) , William Fitzsimmons,
Ocean Stone , Chris O'Brien,
Shook , Dralms,
Show Me , Flo Morrissey,
Girls , Widowspeak,
Take Up Your Spade , Sara Watkins,
Sea Creatures (Spotify Session) , SOAK,
Boys In The Street , Greg Holden,
Evening Kitchen , Band of Horses,
Fireside , Brett Bixby,
